section,text
Before European settlement,"Massachusetts was originally inhabited by tribes of the Algonquian language family such as the Wampanoag, Narragansetts, Nipmucs, Pocomtucs, Mahicans, and Massachusetts. The Vermont and New Hampshire borders and the Merrimack River valley was the traditional home of the Pennacook tribe. Cape Cod, Nantucket, Martha's Vineyard, and southeast Massachusetts were the home of the Wampanoags who established a close bond with the Pilgrim Fathers. The extreme end of the Cape was inhabited by the closely related Nauset tribe. Much of the central portion and the Connecticut River valley was home to the loosely organized Nipmucs. The Berkshires were the home of both the Pocomtuc and the Mahican tribes. Narragansetts from Rhode Island and Mahicans from Connecticut Colony were also present.
These tribes were generally dependent on hunting and fishing for most of their food supply. Villages consisted of lodges called wigwams as well as long houses, and tribes were led by male or female elders known as sachems. Europeans began exploring the coast in the 16th century, but they made few attempts at permanent settlement anywhere. Early European explorers of the New England coast included Bartholomew Gosnold who named Cape Cod in 1602, Samuel de Champlain who charted the northern coast as far as Cape Cod in 1605 and 1606, John Smith, and Henry Hudson. Fishing ships from Europe also worked in the rich waters off the coast, and may have traded with some of the tribes. Large numbers of Indians were decimated by virgin soil epidemics, perhaps including smallpox, measles, influenza, or leptospirosis. In 1617–1619, a disease killed 90 percent of the Indians in the region."
Pilgrims and Puritans: 1620–1629,"The first settlers in Massachusetts were the Pilgrims who established Plymouth Colony in 1620 and developed friendly relations with the Wampanoag people. This was the second permanent English colony in America following Jamestown Colony. The Pilgrims had migrated from England to Holland to escape religious persecution for rejecting England's official church. They were allowed religious liberty in Holland, but they gradually became concerned that the next generation would lose their distinct English heritage. They approached the Virginia Company and asked to settle ""as a distinct body of themselves"" in America. In the fall of 1620, they sailed to America on the Mayflower, first landing near Provincetown at the tip of Cape Cod. The area did not lie within their charter, so the Pilgrims created the Mayflower Compact before landing, one of America's first documents of self-governance. The first year was extremely difficult, with inadequate supplies and very harsh weather, but Wampanoag sachem Massasoit and his people assisted them.

In 1621, the Pilgrims celebrated their first Thanksgiving Day together to thank God for the blessings of good harvest and survival. This Thanksgiving came to represent the peace that existed at that time between the Wampanoags and the Pilgrims, although only about half of the Mayflower company survived the first year. The colony grew slowly over the next ten years, and was estimated to have 300 inhabitants by 1630.
A group of fur-trappers and traders established Wessagusset Colony near the Plymouth colony in Weymouth in 1622. They abandoned it in 1623, and it was replaced by another small colony led by Robert Gorges. This settlement also failed, and individuals from these colonies returned to England, joined the Plymouth colonists, or established individual outposts elsewhere on the shores of Massachusetts Bay. In 1624, the Dorchester Company established a settlement on Cape Ann. This colony only survived until 1626, although a few settlers remained."
Massachusetts Bay Colony: 1628–1686,"The Pilgrims were followed by Puritans who established the Massachusetts Bay Colony at Salem (1629) and Boston (1630). The Puritans strongly dissented from the theology and church polity of the Church of England, and they came to Massachusetts for religious freedom. The Bay Colony was founded under a royal charter, unlike Plymouth Colony. The Puritan migration was mainly from East Anglia and southwestern regions of England, with an estimated 20,000 immigrants between 1628 and 1642. Massachusetts Bay colony quickly eclipsed Plymouth in population and economy, the chief factors being the large influx of population, more suitable harbor facilities for trade, and the growth of a prosperous merchant class.
Religious dissension and expansionism led to the founding of several new colonies shortly after Plymouth and Massachusetts Bay. Dissenters such as Roger Williams and Anne Hutchinson were banished due to religious disagreements with Massachusetts Bay authorities. Williams established Providence Plantations in 1636. Over the next few years, another group, which included Hutchinson, established Newport and Portsmouth; these settlements eventually joined to form the Colony of Rhode Island and Providence Plantations. Others left Massachusetts Bay in order to establish other settlements, including Connecticut Colony on the Connecticut River and New Haven Colony on the coast.
In 1636, a group of settlers led by William Pynchon founded Springfield, Massachusetts (originally named Agawam), after scouting for the region's most advantageous location for trading and farming. Springfield is located just north of the first of Connecticut River's unnavigable waterfalls, and it also sits amid the fertile valley which contains New England's best agricultural land. The Indian tribes surrounding Springfield were friendly, which was not always the case for the fledgling Connecticut colonies. Pynchon annexed Springfield to the Massachusetts Bay Colony in 1640 rather than the much closer Connecticut Colony over tensions with Connecticut following the Pequot War. Massachusetts Bay Colony's southern and western borders were thus established in 1640.
King Philip's War (1675–76) was the bloodiest Indian war of the colonial period. In little over a year, Indians attacked nearly half of the region's towns, and they burned to the ground the major settlements at Providence and Springfield. New England's economy was all but ruined, and much of its population was killed. Proportionately, it was one of the bloodiest and costliest wars in the history of North America.
In 1645, the General Court ordered rural towns to increase sheep production. Sheep provided meat and especially wool for the local cloth industry, avoiding the expense of imports of British cloth. In 1652, the General Court authorized Boston silversmith John Hull to produce local coinage in shilling, sixpence and threepence denominations to address a coin shortage in the colony. To that point, the colony's economy had been entirely dependent on barter and foreign currency, including English, Spanish, Dutch, Portuguese and counterfeit coins.
Charles II was restored to the throne in 1660 and began to scrutinize the governmental oversight in the colonies, and Parliament passed the Navigation Acts to regulate trade for England's benefit. Massachusetts and Rhode Island had thriving merchant fleets, and they often ran afoul of the trade regulations. The English government also considered the Boston mint to be treasonous. However, the colony ignored the English demands to cease mint operations until at least 1682. King Charles formally vacated the Massachusetts charter in 1684."
Dominion of New England: 1686–1692,"In 1660, King Charles II was restored to the throne. Colonial matters brought to his attention led him to propose the amalgamation of all of the New England colonies into a single administrative unit. In 1685, he was succeeded by James II, an outspoken Catholic who implemented the proposal. In June 1684, the charter of the Massachusetts Bay Colony was annulled, but its government continued to rule until James appointed Joseph Dudley to the new post of President of New England in 1686. Dudley established his authority later in New Hampshire and the King's Province (part of current Rhode Island), maintaining this position until Sir Edmund Andros arrived to become the Royal Governor of the Dominion of New England. The rule of Andros was unpopular. He ruled without a representative assembly, vacated land titles, restricted town meetings, enforced the Navigation Acts, and promoted the Church of England, angering virtually every segment of Massachusetts colonial society. Andros dealt a major blow to the colonists by challenging their title to the land; unlike England the great majority of New Englanders were land-owners. Taylor says that because they ""regarded secure real estate as fundamental to their liberty, status, and prosperity, the colonists felt horrified by the sweeping and expensive challenge to their land titles.""
After James II was overthrown by William III and Mary II in late 1688, Boston colonists overthrew Andros and his officials in 1689. Both Massachusetts and Plymouth returned to their previous governments until 1692. During King William's War (1689–1697), the colony launched an unsuccessful expedition against Quebec under Sir William Phips in 1690, which had been financed by issuing paper bonds set against the gains expected from taking the city. The colony continued to be on the front lines of the war, and experienced widespread French and Indian raids on its northern and western frontiers."
Royal Province of Massachusetts Bay: 1692–1774 -> Economy -> Banking,"In 1690, the Massachusetts Bay Colony became the first to issue paper money in what would become the United States, but soon others began printing their own money as well. The demand for currency in the colonies was due to the scarcity of coins, which had been the primary means of trade. Colonies' paper currencies were used to pay for their expenses and lend money to the colonies' citizens. Paper money quickly became the primary means of exchange within each colony, and it even began to be used in financial transactions with other colonies. However, some of the currencies were not redeemable in gold or silver, which caused them to depreciate. With the Currency Act of 1751, the British parliament limited the ability of the New England colonies to issue fiat paper currency. Under the 1751 act, the New England colonial governments could make paper money legal tender for the payment of public debts (such as taxes), and could issue bills of credit as a tool of government finance, but barred the use of paper money as legal tender for private debts. Under continued pressure from the British merchant-creditors who disliked being paid in depreciated paper currency, the subsequent Currency Act of 1764 banned the issuance of bills of credit (paper money) throughout the colonies. Colonial governments used workarounds to accept paper notes as payment for taxes and pressured Parliament to repeal the prohibition on paper money as legal tender for public debts, which Parliament ultimately did in 1773.
The colony was always short of gold and silver and printed a great deal of paper money, which caused inflation that favored farmers but angered business interests. By 1750, however, the colony recalled its paper currency and transitioned to a specie currency based on the British reimbursement (in gold and silver) for its spending in the French and Indian wars. The large-scale merchants and Royal officials welcomed the transition but many farmers and smaller businessmen were opposed."
Royal Province of Massachusetts Bay: 1692–1774 -> Wars with France,"The colony fought alongside British regulars in a series of French and Indian Wars characterized by brutal border raids and attacks by Indians organized and supplied by New France. Particularly in King William's War (1689–97) and Queen Anne's War (1702–13), the colony's rural communities were directly exposed to French and Indian attacks, with Deerfield raided in 1704 and Haverhill raided in 1708. Boston responded, launching naval expeditions against Acadia and Quebec in both wars.
During Queen Anne's War, Massachusetts men were involved in the Conquest of Acadia (1710), which became the Province of Nova Scotia. The province was also involved in Dummer's War, which drove Indian tribes from northern New England. In 1745, during King George's War, Massachusetts provincial forces successfully besieged Fortress Louisbourg. The fortress was returned to France at the end of the war, angering many colonists who viewed it as a threat to their security. During the French and Indian War, Governor William Shirley was instrumental in the Expulsion of the Acadians from Nova Scotia and trying to settle them in New England. After the expulsion, Shirley also was involved in transporting New England Planters to settle Nova Scotia on the former Acadian farms. Many troops from Massachusetts participated in the successful Siege of Havana in 1762. Britain's victory in the war led to its acquisition of New France, removing the immediate northern threat to Massachusetts that the French had posed."
Royal Province of Massachusetts Bay: 1692–1774 -> Disasters,"Boston was hit by a major smallpox epidemic in 1721. Some colonial leaders called for use of the new technique of inoculation, whereby a patient would get a weak form of the disease and become permanently immune. Puritan minister Cotton Mather  and physician Zabdiel Boylston led the drive for inoculation, while physician William Douglass and newspaper editor James Franklin led the opposition.
In 1755, about 4:15 am on Tuesday, November 18, was the most destructive earthquake yet known in New England. The first pulsations of the ground were followed for about a minute of tremulous motion. Next came a quick vibration and several jerks much worse than the first. Houses rocked and cracked; furniture fell over. Dr. Edward A. Holyoke, of Salem, wrote in his diary that he ""thought of nothing less than being buried instantly in the ruins of the house."" The shaking continued for two to three minutes more, and seemed to move from northwest to southeast. The ocean along the coast was affected; ships shook so much that sleeping sailors awoke, thinking they had run aground. In Boston, the earthquake threw dishes on the floor, stopped clocks, and bent vane-rods on churches and Faneuil Hall. Stone walls collapsed. New springs appeared, and old springs dried up. Subterranean streams changed their courses, emptying many wells. The worst damage was to chimneys. In Boston alone, about a hundred were leveled; about fifteen hundred were damaged, the streets in some places almost covered with fallen bricks. Falling chimneys broke some roofs. Many wooden buildings in Boston were thrown down, and some brick buildings suffered; the gable ends of twelve or fifteen were knocked down to the eaves. Despite the danger and many narrow escapes, no one was killed or seriously injured. Aftershocks continued for four days."
Royal Province of Massachusetts Bay: 1692–1774 -> Politics,"The relationship between the provincial government and the crown-appointed governor was often difficult and contentious. The governors sought to assert the royal prerogatives granted in the provincial charter, and the provincial government sought to strip or minimize the governor's power. For example, each governor was ordered to enact legislation for providing permanent salaries for crown officials, but the legislature refused to do so, using its ability to grant stipends annually as a means of control over the governor. The province's periodic issuance of paper currency was also a persistent source of friction between factions in the province, due to its inflationary effects. Notable royal governors during this period were Joseph Dudley, Thomas Hutchinson, Jonathan Belcher, Francis Bernard, and General Thomas Gage. Gage was the last British governor of Massachusetts, and his effective rule extended to little more than Boston."
Revolutionary Massachusetts: 1760s–1780s -> Boston Massacre,"Boston was the center of revolutionary activity in the decade before 1775, with Massachusetts natives Samuel Adams, John Adams, and John Hancock as leaders who would become important in the revolution. Boston had been under military occupation since 1768. When customs officials were attacked by mobs, two regiments of British regulars arrived. They had been housed in the city with increasing public outrage.
In Boston on March 5, 1770, what began as a rock-throwing incident against a few British soldiers ended in the shooting of five men by British soldiers in what became known as the Boston Massacre. The incident caused further anger against British authority in the commonwealth over taxes and the presence of the British soldiers."
Revolutionary Massachusetts: 1760s–1780s -> Boston Tea Party,"One of the many taxes protested by the colonists was a tax on tea, imposed when Parliament passed the Townshend Acts, and retained when most of the provisions of those acts were repealed. With the passage of the Tea Act in 1773, tea sold by the British East India Company would become less expensive than smuggled tea, and there would be reduced profit-making opportunities for Massachusetts merchants traded in tea. This led to protests against the delivery of the company's tea to Boston. On December 16, 1773, when a tea ship of the East India Company was planning to land taxed tea in Boston, a group of local men known as the Sons of Liberty sneaked onto the boat the night before it was to be unloaded and dumped all the tea into the harbor, an act known as the Boston Tea Party."
